"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
481363,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Substring completion lost if I continue to type","2015-11-05 02:09:13"
519358,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","jdtui tests failed at testHierarchyWithWorkingCopy1","2017-07-14 11:47:18"
464456,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Javadoc with JDK8","2015-05-11 11:49:52"
543756,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Eclipse IDE freezes when I hit ""Run As Java Application"" on Eclipse","2019-01-26 07:33:40"
525680,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","[null] ARRAY_CONTENTS @NonNullByDefault is not applied to instantiation statement","2017-10-06 09:59:07"
469348,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","AbortCompilation in ProblemHandler.handle (152)","2019-05-30 18:58:41"
545242,"JDT","Debug","jdt-debug-inbox","RESOLVED","WORKSFORME","No more JRE's exist in Java since Java 9","2019-03-25 14:00:46"
473326,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Switching between two Java editor windows gives no more handles message","2015-07-23 04:22:44"
547543,"JDT","Debug","loskutov","RESOLVED","WORKSFORME","[1.8] Lambda variable names shown as arg$1 for code from libraries","2019-09-25 09:56:53"
533511,"JDT","UI","azerr","RESOLVED","WORKSFORME","[code mining] NSME JavaEditor#installCodeMiningProviders","2019-02-13 03:26:00"
509591,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[Dark theme] [CSS] Build Path tabs are not styled","2019-04-23 09:47:08"
477898,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","Second autocomplete does not show up","2016-04-05 10:57:39"
552446,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","Whitespace removed from the beginning of a text block","2019-10-27 16:02:50"
536544,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","Eclipse hangs on ctrl+click on interface method","2018-08-29 10:12:41"
513863,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Can't rename variable in lambda","2019-10-31 07:22:06"
481591,"JDT","UI","markus.kell.r","RESOLVED","WORKSFORME","Tab handling in 'open type' dialog","2016-06-06 06:12:15"
540157,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[JUnit] [JUnit 5] JUnit treeview opens and closes constantly while running tests, making it impossible to see what is happening","2019-07-04 05:30:42"
543977,"JDT","Core","sravankumarl","RESOLVED","WORKSFORME","[13] Run through the api changes for Java 13","2019-09-05 22:46:58"
494215,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Bogus Javadoc warning for a package protected class","2019-04-23 09:41:55"
469349,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","SWTException in NewJavaProjectWizardPageTwo.changeToNewProject (173)","2016-02-08 10:45:17"
531117,"JDT","UI","stephan.herrmann","RESOLVED","WORKSFORME","Strange (Display) Errors resolving Classes when Project System Library is JDK9:","2018-02-19 12:24:23"
547556,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","completion details not shown on first attempt after start","2019-05-28 11:36:20"
533716,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Make JUnit 5 the default in the new JUnit test wizard","2018-04-17 17:26:19"
509703,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","Allow Oxygen to start on jdk-9","2019-10-15 04:39:44"
478246,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[content assist] Completion deletes the ellipsis from parameter","2016-02-05 03:34:01"
552985,"JDT","UI","jdt-ui-inbox","CLOSED","WORKSFORME","Support Line Code Minings for Show Error/Warning/Info Annotations in JDT editor","2019-11-13 09:32:42"
536657,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Project Explorer is missing filter to hide Java members","2018-07-22 11:27:33"
482074,"JDT","Core","register.eclipse","RESOLVED","WORKSFORME","[compiler][null] Create method templates create superfluous @NonNull annotations for method arguments","2019-10-11 03:13:16"
457943,"JDT","Debug","sarika.sinha","RESOLVED","WORKSFORME","Expression display popup disappears","2019-10-18 07:22:54"
540158,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[JUnit] [JUnit 5] JUnit view Stop button does not work with dynamic tests","2019-07-04 05:29:22"
519810,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","[9] NPE in ModuleBinding.canAccess while renaming a type","2017-07-19 08:44:16"
464850,"JDT","Text","noopur_gupta","RESOLVED","WORKSFORME","Content Assist Advanced preferences not saved on restart","2016-06-09 06:54:20"
544095,"JDT","Core","noopur_gupta","RESOLVED","WORKSFORME","[12] NumberFormatException in DefaultCodeFormatterConstants.getIndentStyle","2019-02-05 06:24:43"
525850,"JDT","UI","stephan.herrmann","RESOLVED","WORKSFORME","App is now working in my machine","2019-11-14 17:14:38"
494690,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","Significant lag in detecting compile errors","2016-06-22 19:14:42"
469364,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[save actions] Save action","2015-06-04 07:29:58"
545498,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[package explorer] [working sets] Deleting projects doesn't remove it from the working set","2019-03-22 12:23:42"
